Time,Phase 1 [0] Score,Phase 4 [3] Score

0,1.0,1.0

37,4.0,150.0

74,220.0,4.0

111,10.0,191.0

148,316.0,12.0

185,71.0,366.0

222,223.5,17.0

259,162.5,482.0

296,478.0,9.0

333,92.0,295.0

370,317.0,15.0

407,408.5,473.0

444,952.5,9.0

481,962.0,286.0

518,248.5,14.0

555,149.5,422.0

592,614.0,10.0

629,188.5,394.0

666,612.0,8.0

703,185.5,220.0

740,231.0,28.0

777,225.0,449.0

814,472.0,44.0

851,103.0,455.0

888,552.5,10.0

925,266.5,342.0

962,549.5,19.0

999,100.0,438.0

1036,495.0,17.0

1073,527.5,496.0

1110,277.0,14.0

1147,113.0,462.0

1184,264.5,14.0

1221,199.5,449.0

1258,775.5,25.0

1295,600.0,411.0

1332,243.5,17.0

1369,60.5,475.0

1406,322.5,11.0

1443,173.5,352.0

1480,623.5,11.0

1517,326.5,334.0

1554,743.0,12.0

1591,270.5,370.0

1628,645.0,17.0

1665,97.0,587.0

1702,400.0,9.0

1739,619.5,379.0

1776,213.5,14.0

1813,68.5,420.0

1850,313.0,15.0

1887,120.0,445.0

1924,270.5,31.0

1961,73.0,427.0

1998,406.5,10.0

2035,387.5,337.0

2072,133.5,14.0

2109,146.5,446.0

2146,265.5,11.0

2183,148.5,329.0

2220,298.5,14.0

2257,152.5,446.0

2294,225.5,8.0

2331,210.0,292.0

2368,766.5,8.0

2405,827.0,270.0

2442,490.5,15.0

2479,42.5,482.0

2516,374.5,10.0

2553,373.5,410.0

2590,410.5,12.0

2627,150.0,427.0

2664,220.5,9.0

2701,214.0,297.0

2738,471.0,12.0

2775,67.5,376.0

2812,415.0,10.0

2849,514.0,472.0

2886,143.0,14.0

2923,37.0,404.0

2960,365.5,13.0

2997,56.5,382.0

3034,417.0,24.0

3071,776.0,436.0

3108,255.0,14.0

3145,96.5,401.0

3182,359.0,35.0

3219,96.0,483.0

3256,333.5,10.0

3293,440.0,463.0

3330,760.5,12.0

3367,189.5,515.0

3404,276.5,8.0

3441,76.5,310.0

3478,396.5,10.0

3515,496.5,347.0

3552,182.0,21.0

3589,125.5,450.0

